"Bill of Material for "
"On 06-Mar-18 at 2:33:57 PM"

"Comment","Pattern","Quantity","Components"

"","smd C0805_0.50","3","R002LO, R040LO, R041LO","weerstand SMD805, 270R"
"0.2pF","smd C0402","1","C60","smd capaciteit, verp.0402, 22pF"
"0","smd C0805_0.50","1","R012LO","weerstand SMD805, 270R"
"100nF","smd C0603_0.80","23","C01CPU, C001LO, C02CPU, C002LO, C03CPU, C003LO, C004LO, C005LO, C06CPU, C006LO, C09CPU, C10CPU, C019LO, C029LO, C031LO, C34LO, C035LO, C49, C51, C54, C68, C69, C74HF","smd capaciteit, verp.0603, 100nF"
"100pF","smd C0402","3","C59, C66, C67","smd capaciteit, verp.0402, 22pF"
"10K","smd C0603_0.45","2","R33HF, R35HF","weerstand SMD603, 10K"
"10nF","smd C0402","7","C008LO, C009LO, C010LO, C011LO, C012LO, C013LO, C50","smd capaciteit, verp.0402, 10nF"
"10nF","smd C0603_0.80","5","C11CPU, C73HF, C75HF, C80HF, C81HF","smd capaciteit, verp.0603, 100nF"
"10pF","smd C0603_0.80","2","C04CPU, C05CPU","smd capaciteit, verp.0603, 10pF"
"10uF","smd C1206 polar","2","C07CPU, C08CPU","smd capaciteit, tantalium, verp.1206, 10uF/10V"
"12nF","smd C0603_0.80","1","C018LO","smd capaciteit, verp.0603, 12nF"
"1K5","smd C0603_0.45","2","R05CPU, R06CPU","weerstand SMD603, 1K5"
"1K5","smd C0805_0.50","1","R31","weerstand SMD805, 1K8"
"1uF","smd C0603_0.80","4","C005Mx, C014LO, C015LO, C016LO","smd capaciteit, verp.0603, 1uF"
"20R/402","smd C0402_0.35","1","R_U11pol","weerstand SMD402, 20R"
"22pF","smd C0402","9","C007LO, C017LO, C52, C53, C55, C56, C57, C58, C63","smd capaciteit, verp.0402, 22pF"
"240","smd C0603_0.45","1","R010LO","weerstand SMD603, 240K"
"270","smd C0805_0.50","1","R003LO","weerstand SMD805, 270R"
"30.1","smd C0603_0.45","1","R011LO","weerstand SMD603, 240K"
